Number of Records,Session End Date,Session Start Date,Booking,Clickouts,Session,Session End Time,Session Start Time
1,30-12-1899,30-12-1899,0,3,20170503000001,06:15:11,06:11:53
1,30-12-1899,30-12-1899,0,3,20170503000002,21:08:23,21:06:41
1,30-12-1899,30-12-1899,0,3,20170503000003,12:06:02,12:03:01
1,30-12-1899,30-12-1899,0,0,20170503000004,06:02:56,05:58:00
1,30-12-1899,30-12-1899,0,1,20170503000005,09:17:01,09:13:43
1,30-12-1899,30-12-1899,0,4,20170503000006,01:30:23,01:27:37
1,30-12-1899,30-12-1899,0,3,20170503000007,04:20:22,04:17:08
1,30-12-1899,30-12-1899,1,2,20170503000008,19:36:37,19:33:08
1,30-12-1899,30-12-1899,0,2,20170503000009,22:25:20,22:22:40
1,30-12-1899,30-12-1899,0,4,20170503000010,09:05:37,09:00:37
1,30-12-1899,30-12-1899,0,2,20170503000011,22:43:15,22:41:06
1,30-12-1899,30-12-1899,0,1,20170503000012,16:03:02,15:59:55
1,30-12-1899,30-12-1899,0,2,20170503000013,13:19:38,13:17:35
1,30-12-1899,30-12-1899,0,2,20170503000014,12:33:26,12:28:57
1,30-12-1899,30-12-1899,1,2,20170503000015,10:39:35,10:36:27
1,30-12-1899,30-12-1899,1,3,20170503000016,17:05:20,17:01:51
1,30-12-1899,30-12-1899,0,2,20170503000017,19:36:11,19:33:09
1,30-12-1899,30-12-1899,0,2,20170503000018,01:27:05,01:24:28
1,30-12-1899,30-12-1899,0,2,20170503000019,00:33:41,00:31:05
1,30-12-1899,30-12-1899,0,5,20170503000020,19:49:39,19:46:46
1,30-12-1899,30-12-1899,0,2,20170503000021,10:27:11,10:23:07
1,30-12-1899,30-12-1899,0,4,20170503000022,08:42:20,08:38:43
1,30-12-1899,30-12-1899,0,3,20170503000023,15:09:58,15:07:04
1,30-12-1899,30-12-1899,0,2,20170503000024,21:15:41,21:13:54
1,30-12-1899,30-12-1899,0,3,20170503000025,22:21:15,22:16:51
1,30-12-1899,30-12-1899,0,3,20170503000026,08:29:57,08:26:53
1,30-12-1899,30-12-1899,0,2,20170503000027,03:23:16,03:20:28
1,30-12-1899,30-12-1899,0,1,20170503000028,07:39:44,07:34:52
1,30-12-1899,30-12-1899,0,4,20170503000029,15:03:47,15:01:25
1,30-12-1899,30-12-1899,0,3,20170503000030,10:48:40,10:46:00
1,30-12-1899,30-12-1899,0,3,20170503000031,01:39:00,01:33:53
1,30-12-1899,30-12-1899,0,3,20170503000032,03:32:35,03:30:46
1,30-12-1899,30-12-1899,0,0,20170503000033,19:09:14,19:05:37
1,30-12-1899,30-12-1899,0,0,20170503000034,01:55:40,01:55:40
1,30-12-1899,30-12-1899,0,3,20170503000035,10:36:34,10:33:24
1,30-12-1899,30-12-1899,1,3,20170503000036,22:21:54,22:17:32
1,30-12-1899,30-12-1899,0,3,20170503000037,22:42:47,22:40:09
1,30-12-1899,30-12-1899,0,2,20170503000038,10:21:47,10:21:34
1,30-12-1899,30-12-1899,1,4,20170503000039,18:38:07,18:34:43
1,30-12-1899,30-12-1899,0,4,20170503000040,14:40:01,14:36:29
1,30-12-1899,30-12-1899,0,4,20170503000041,00:13:12,00:09:35
1,30-12-1899,30-12-1899,0,2,20170503000042,21:17:25,21:15:38
1,30-12-1899,30-12-1899,1,2,20170503000043,19:13:01,19:09:01
